Barcodes,Line_name,Treatment
Fa020AA032055,San Chi San,50
Fa020AA032085,San Chi San,50
Fa020AA032115,San Chi San,50
Fa020AA032145,San Chi San,50
Fa020AA032175,San Chi San,50
Fa020AA032205,San Chi San,50
Fa020AB032235,San Chi San,70
Fa020AB032265,San Chi San,70
Fa020AB032295,San Chi San,70
Fa020AB032325,San Chi San,70
Fa020AB032355,San Chi San,70
Fa020AB032385,San Chi San,70
Fa020AB032415,San Chi San,70
Fa020AB032445,San Chi San,70
Fa020AB032475,San Chi San,70
Fa020AC032505,San Chi San,100
Fa020AC032535,San Chi San,100
Fa020AC032565,San Chi San,100
Fa020AC032595,San Chi San,100
Fa020AC032625,San Chi San,100
Fa020AC032655,San Chi San,100
Fa020AC032685,San Chi San,100
Fa020AC032715,San Chi San,100
Fa020AC032745,San Chi San,100
Fa026AA032061,Rio,50
Fa026AA032091,Rio,50
Fa026AA032121,Rio,50
Fa026AA032151,Rio,50
Fa026AA032181,Rio,50
Fa026AA032211,Rio,50
Fa026AB032241,Rio,70
Fa026AB032271,Rio,70
Fa026AB032301,Rio,70
Fa026AB032331,Rio,70
Fa026AB032361,Rio,70
Fa026AB032391,Rio,70
Fa026AB032421,Rio,70
Fa026AB032451,Rio,70
Fa026AB032481,Rio,70
Fa026AC032511,Rio,100
Fa026AC032541,Rio,100
Fa026AC032571,Rio,100
Fa026AC032601,Rio,100
Fa026AC032631,Rio,100
Fa026AC032661,Rio,100
Fa026AC032691,Rio,100
Fa026AC032721,Rio,100
Fa026AC032751,Rio,100
Fa030AA032065,PI_655972,50
Fa030AA032095,PI_655972,50
Fa030AA032125,PI_655972,50
Fa030AA032155,PI_655972,50
Fa030AA032185,PI_655972,50
Fa030AA032215,PI_655972,50
Fa030AB032245,PI_655972,70
Fa030AB032275,PI_655972,70
Fa030AB032305,PI_655972,70
Fa030AB032335,PI_655972,70
Fa030AB032365,PI_655972,70
Fa030AB032395,PI_655972,70
Fa030AB032425,PI_655972,70
Fa030AB032455,PI_655972,70
Fa030AB032485,PI_655972,70
Fa030AC032515,PI_655972,100
Fa030AC032545,PI_655972,100
Fa030AC032575,PI_655972,100
Fa030AC032605,PI_655972,100
Fa030AC032635,PI_655972,100
Fa030AC032665,PI_655972,100
Fa030AC032695,PI_655972,100
Fa030AC032725,PI_655972,100
Fa030AC032755,PI_655972,100
Fa027AA032062,PI_642998,50
Fa027AA032092,PI_642998,50
Fa027AA032122,PI_642998,50
Fa027AA032152,PI_642998,50
Fa027AA032182,PI_642998,50
Fa027AA032212,PI_642998,50
Fa027AB032242,PI_642998,70
Fa027AB032272,PI_642998,70
Fa027AB032302,PI_642998,70
Fa027AB032332,PI_642998,70
Fa027AB032362,PI_642998,70
Fa027AB032392,PI_642998,70
Fa027AB032422,PI_642998,70
Fa027AB032452,PI_642998,70
